群創,長榮,欣興,無風險利率,大盤指數
0.123209,0.144578,0.013158,0.00815,0.021014
0.044909,0.251256,0.200001,0.00815,0.03202
-0.017648,-0.210317,0.439393,0.00815,0.006261
-0.014493,-0.07353,-0.105085,0.00815,0.006164
-0.072579,0.049141,0.020012,0.00815,0.017091
-0.084549,-0.329949,0.131782,0.00815,0.035291
-0.147847,0.997972,0.146665,0.00815,0.003103
-0.19103,0.248106,-0.021738,0.00815,0.015196
0.426538,0.736264,0.256829,0.00815,-0.019067
0.241175,0.198943,-0.061538,0.00815,0.039471
0.302681,0.216347,0.12717,0.00815,-0.02162
-0.074468,-0.233416,-0.010299,0.00815,0.007805
0.402985,0.64777,-0.02781,0.00815,0.043309
0.014127,0.306879,0.318182,0.00815,-0.025966
0.057629,0.192427,-0.083333,0.00815,0.009618
0.027412,-0.08908,0.010871,0.00815,-0.023958
0.098797,0.581816,0.144634,0.00815,0.020368
0.063213,0.023256,0.310487,0.00815,-0.003499
0.270097,-0.013763,0.249378,0.00815,0.020356
-0.04893,-0.018019,-0.06418,0.00815,0.000582
0.250477,0.200001,0.339062,0.00815,-0.005206
-0.337974,-0.199134,-0.2,0.00815,-0.109411
-0.102273,-0.01702,0.034929,0.00815,0.008763
0.056422,-0.052419,-0.079761,0.00815,-0.016244
0.054429,-0.000002,-0.089925,0.00815,0.021059
0.166913,-0.000905,-0.021209,0.00815,0.046003
0.025757,-0.038462,0.080184,0.00815,0.024244
-0.05983,0.011673,0.117798,0.00815,0.030701
-0.029045,-0.107639,0.027634,0.00815,-0.042784
-0.005491,0.156628,0.099467,0.00815,0.022131
-0.021361,0.028925,0.176962,0.00815,0.008665
-0.243432,-0.10701,-0.130623,0.00815,-0.01901
-0.010001,0.133892,0.163853,0.00815,0.019931
-0.024389,-0.04016,0.228219,0.00815,0.04885
-0.01914,0.041839,0.071111,0.00815,0.011521
0.075104,0.004202,0.008969,0.00815,0.044177
-0.051706,0.021461,0.054374,0.00815,-0.041847
0.093916,0.021929,0.405318,0.00815,-0.017654
-0.116039,-0.106618,-0.249377,0.00815,-0.140284
-0.074234,-0.019156,0.139204,0.00815,0.132269
-0.004349,0.003847,0.083078,0.00815,-0.004547
0.125921,0.065385,0.027218,0.00815,0.062061
-0.056037,-0.124579,-0.029762,0.00815,0.089798
0.045046,-0.016555,0.000001,0.00815,-0.005792
-0.152672,-0.003301,-0.108754,0.00815,-0.006023
0.007695,-0.019417,-0.066832,0.00815,0.002455
-0.054546,-0.104347,-0.047169,0.00815,0.093776
0.108871,0.055045,0.300613,0.00815,0.073573
-0.053434,-0.029675,0.044872,0.00815,0.027543
-0.007576,-0.054329,-0.093022,0.00815,0.053869
-0.067136,-0.01096,0.042424,0.00815,0.02992
-0.037416,-0.206522,-0.04348,0.00815,0.069109
-0.003392,0.389728,-0.108049,0.00815,-0.028363
-0.066438,0.071198,0.113315,0.00815,0.040252
0.169115,0.023179,0.014368,0.00815,-0.028614
-0.035463,0.135337,-0.064518,0.00815,0.014082
0.123504,-0.063379,0.113772,0.00815,-0.031762
0.004,-0.024056,0.163763,0.00815,0.003109
-0.053029,0.127907,0.166667,0.00815,0.02592
0.137931,0.162162,-0.008065,0.00815,0.045394
